municipios,homicidio_doloso,total_vitimas_homicidio_doloso,latrocinio,furtos,abigeato,furto_veiculo,roubos,roubo_veiculo,estelionato,delitos_armas_municoes,entorpecente_posse,entorpecente_trafico,vitimas_latrocinio,vitimas_lesao_corporal_morte,total_vitimas_crimes_violentos,cluster
MATO LEITAO,0,0,0,21,0,0,2,0,32,6,2,0,0,0,0,0
MATO QUEIMADO,0,0,0,5,1,0,1,0,7,3,0,0,0,0,0,0
MAXIMILIANO DE ALMEIDA,0,0,0,27,0,0,0,0,24,3,1,2,0,0,0,0
MINAS DO LEAO,0,0,1,47,8,3,3,0,42,8,30,14,1,0,1,0
MIRAGUAI,0,0,0,58,8,6,6,0,20,5,2,0,0,0,0,0
MONTAURI,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0
MONTE ALEGRE DOS CAMPOS,0,0,0,28,4,0,0,0,13,3,0,0,0,0,0,0
MONTE BELO DO SUL,0,0,0,18,0,0,0,0,12,2,1,0,0,0,0,0
MONTENEGRO,4,5,0,616,8,54,56,3,469,17,281,123,0,0,5,0
MORMACO,0,0,0,7,0,0,1,0,7,0,0,0,0,0,0,0
MORRINHOS DO SUL,0,0,0,6,0,0,0,0,9,1,2,1,0,0,0,0
MORRO REDONDO,0,0,0,60,8,2,0,0,20,1,0,2,0,0,0,0
MORRO REUTER,0,0,0,36,0,1,4,0,44,0,4,2,0,0,0,0
MOSTARDAS,1,1,0,108,14,3,3,1,77,2,17,17,0,0,1,0
MUCUM,0,0,0,49,0,3,1,0,25,4,9,8,0,0,0,0
MUITOS CAPOES,0,0,0,20,5,3,1,0,10,2,0,1,0,0,0,0
MULITERNO,0,0,0,14,1,1,0,0,6,2,1,2,0,0,0,0
NAO-ME-TOQUE,2,2,0,122,1,3,10,0,182,12,29,24,0,0,2,0
NICOLAU VERGUEIRO,0,0,0,15,4,0,1,0,8,0,1,0,0,0,0,0
NONOAI,1,1,0,69,5,4,5,0,81,14,21,17,0,0,2,0
NOVA ALVORADA,0,0,0,18,1,1,14,0,19,3,0,1,0,0,0,0
NOVA ARACA,0,0,0,27,0,3,3,0,30,4,21,8,0,0,0,0
NOVA BASSANO,0,0,0,43,3,8,2,1,44,13,17,16,0,0,0,0
NOVA BOA VISTA,0,0,0,10,0,1,0,0,14,1,0,0,0,0,0,0
NOVA BRESCIA,0,0,0,4,0,1,0,0,15,0,1,1,0,0,0,0
NOVA CANDELARIA,0,0,0,2,0,1,0,0,11,2,0,0,0,0,0,0
NOVA ESPERANCA DO SUL,0,0,0,18,1,0,0,0,20,0,0,3,0,0,0,0
NOVA HARTZ,1,1,0,102,1,12,11,1,153,9,57,17,0,0,1,0
NOVA PADUA,0,0,0,12,0,0,1,0,20,0,0,0,0,0,0,0
NOVA PALMA,0,0,0,40,16,0,2,0,31,3,1,1,0,0,0,0
NOVA PETROPOLIS,1,1,0,100,1,4,1,0,135,11,56,9,0,0,1,0
NOVA PRATA,3,3,0,123,3,16,8,1,207,19,66,79,0,0,6,0
NOVA RAMADA,0,0,0,7,1,1,0,0,6,3,1,0,0,0,1,0
NOVA ROMA DO SUL,0,0,0,12,2,0,1,0,23,0,13,0,0,0,0,0
NOVA SANTA RITA,5,5,0,286,14,22,31,9,340,26,49,10,0,0,6,0
NOVO BARREIRO,0,0,0,11,3,5,1,1,8,6,0,1,0,0,0,0
NOVO CABRAIS,0,0,0,23,1,1,0,0,8,5,5,2,0,0,0,0
NOVO HAMBURGO,25,26,1,2956,11,276,742,161,2158,121,300,255,1,2,35,1
NOVO MACHADO,1,1,0,15,1,1,1,0,5,4,0,0,0,0,1,0
NOVO TIRADENTES,0,0,0,9,2,1,1,0,12,1,1,1,0,0,0,0
NOVO XINGU,0,0,0,5,0,0,0,0,5,0,1,0,0,0,0,0
OSORIO,7,8,0,537,23,27,39,17,454,27,97,175,0,0,8,0
PAIM FILHO,0,0,0,46,12,0,4,0,13,1,1,1,0,0,0,0
PALMARES DO SUL,1,1,0,174,16,4,16,0,81,10,11,14,0,0,1,0
PALMEIRA DAS MISSOES,7,7,0,326,16,23,21,7,163,37,54,16,0,0,8,0
PALMITINHO,2,2,0,34,5,3,2,0,20,5,15,2,0,0,3,0
PANAMBI,4,4,0,264,6,21,17,3,359,19,95,26,0,0,4,0
PANTANO GRANDE,0,0,0,68,7,4,1,2,64,3,7,10,0,2,2,1
PARAI,0,0,0,37,1,3,1,0,63,4,5,3,0,0,0,0
PARAISO DO SUL,0,0,0,31,0,2,1,0,15,0,1,4,0,0,0,0
PARECI NOVO,1,1,0,24,0,0,0,0,29,0,1,2,0,0,1,0
PAROBE,1,1,0,329,8,49,58,13,352,24,226,49,0,0,3,0
PASSA SETE,1,1,0,24,9,1,2,0,13,2,0,0,0,0,2,0
PASSO DO SOBRADO,1,1,0,62,15,3,6,0,15,6,8,2,0,0,1,0
PASSO FUNDO,46,48,1,2424,8,418,471,31,1834,148,331,261,1,1,53,1
PAULO BENTO,0,0,0,17,2,1,1,0,5,3,1,1,0,0,0,0
PAVERAMA,1,1,0,26,2,4,6,0,45,2,22,7,0,0,1,0
PEDRAS ALTAS,0,0,0,25,17,0,1,0,6,0,0,1,0,0,0,0
PEDRO OSORIO,1,1,0,46,6,4,6,0,37,4,7,4,0,0,1,0
PEJUCARA,0,0,0,57,2,1,4,0,24,4,3,5,0,0,0,0
PELOTAS,22,22,2,3371,63,193,1168,48,2030,114,163,367,2,2,35,1
PICADA CAFE,0,0,0,41,0,1,1,0,29,2,9,2,0,0,2,0
PINHAL,1,1,0,17,3,3,1,0,15,3,1,1,0,0,1,0
PINHAL DA SERRA,0,0,0,20,7,1,1,0,9,2,5,1,0,0,0,0
PINHAL GRANDE,0,0,0,35,5,1,0,0,17,6,0,0,0,0,0,0
PINHEIRINHO DO VALE,1,1,0,13,0,2,0,0,9,0,0,7,0,0,1,0
PINHEIRO MACHADO,2,2,0,109,26,2,1,0,81,4,4,2,0,0,2,0
PINTO BANDEIRA,0,0,0,16,0,0,1,0,0,3,2,0,0,0,0,0
PIRAPO,0,0,0,11,6,1,0,0,11,6,0,0,0,0,0,0
PIRATINI,4,5,0,198,35,7,6,1,109,10,12,4,0,0,5,0
PLANALTO,5,5,0,90,2,6,2,0,45,14,25,4,0,0,5,0
POCO DAS ANTAS,0,0,0,8,0,1,0,0,12,0,0,0,0,0,0,0
PONTAO,0,0,0,23,1,0,0,1,26,3,3,1,0,0,0,0
PONTE PRETA,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0,0
PORTAO,3,3,0,361,17,19,48,21,365,11,59,17,0,0,6,0
PORTO ALEGRE,234,261,7,29207,29,1634,14804,1394,16938,714,2381,3175,7,2,328,1
PORTO LUCENA,0,0,0,13,0,2,1,0,7,8,0,2,0,0,0,0
PORTO MAUA,0,0,0,16,3,3,0,0,5,3,5,1,0,0,0,0
PORTO VERA CRUZ,0,0,0,8,1,1,0,0,6,0,0,0,0,0,0,0
PORTO XAVIER,0,0,0,41,11,3,1,0,38,12,13,6,0,0,0,0
POUSO NOVO,0,0,0,11,0,2,1,0,9,0,3,0,0,0,0,0
PRESIDENTE LUCENA,0,0,0,13,0,2,0,0,15,0,3,0,0,0,0,0
PROGRESSO,0,0,0,39,6,3,2,0,14,12,4,0,0,0,0,0
PROTASIO ALVES,0,0,0,2,1,1,0,0,5,4,1,2,0,0,0,0
PUTINGA,0,0,0,9,1,0,0,0,5,3,7,0,0,0,0,0
QUARAI,1,1,0,201,35,7,19,2,104,14,42,16,0,0,1,0
QUATRO IRMAOS,0,0,0,7,1,1,0,0,4,0,2,0,0,0,0,0
QUEVEDOS,0,0,0,26,14,0,3,0,12,3,1,0,0,0,0,0
QUINZE DE NOVEMBRO,0,0,0,19,2,0,2,0,5,4,0,1,0,0,0,0
REDENTORA,3,3,0,41,5,4,1,2,23,16,2,2,0,1,4,1
RELVADO,0,0,0,10,1,0,1,0,6,1,0,0,0,0,0,0
RESTINGA SECA,2,2,0,120,14,2,7,0,82,6,11,14,0,0,3,0
RIO DOS INDIOS,0,0,0,11,3,2,1,0,12,6,0,1,0,0,0,0
RIO GRANDE,35,35,1,2415,78,81,808,13,1126,159,284,432,1,1,47,1
RIO PARDO,7,9,0,379,34,21,25,2,158,23,90,50,0,0,9,0
RIOZINHO,0,0,0,24,1,2,0,0,25,1,2,1,0,0,0,0
ROCA SALES,1,1,0,68,2,2,4,2,83,3,14,7,0,0,1,0
RODEIO BONITO,0,0,0,34,9,3,1,0,30,4,18,3,0,0,0,0
ROLADOR,1,1,0,13,5,0,2,0,10,5,0,0,0,0,1,0
ROLANTE,4,5,0,97,6,7,19,6,239,4,47,29,0,0,5,0
RONDA ALTA,2,2,0,46,2,5,3,0,44,5,7,15,0,0,3,0
RONDINHA,2,2,0,15,3,2,0,0,10,5,6,2,0,0,2,0
ROQUE GONZALES,1,1,0,23,6,1,1,0,21,0,4,8,0,0,1,0
ROSARIO DO SUL,8,8,0,319,41,13,34,1,197,28,36,91,0,0,8,0
SAGRADA FAMILIA,0,0,0,10,3,1,0,0,7,2,0,1,0,0,0,0
SALDANHA MARINHO,1,1,0,8,0,0,4,1,23,5,2,0,0,0,1,0
SALTO DO JACUI,1,1,0,153,8,5,6,0,81,16,17,15,0,0,1,0
SALVADOR DAS MISSOES,0,0,0,1,0,0,1,0,10,0,0,0,0,0,0,0
SALVADOR DO SUL,0,0,0,28,0,2,5,1,62,7,26,10,0,0,0,0
SANANDUVA,2,2,0,60,2,9,2,2,75,4,18,6,0,0,3,0
SANTA BARBARA DO SUL,1,1,0,65,5,1,3,2,88,3,20,11,0,0,1,0
SANTA CECILIA DO SUL,0,0,0,17,2,2,0,1,6,2,0,1,0,0,0,0
SANTA CLARA DO SUL,1,1,0,39,2,1,1,0,38,1,1,2,0,0,1,0
SANTA CRUZ DO SUL,11,12,0,1326,9,114,117,5,1160,61,110,199,0,0,13,0
SANTA MARGARIDA DO SUL,0,0,0,20,6,1,1,0,9,2,2,0,0,0,0,0
SANTA MARIA,50,54,0,4026,84,186,622,19,2883,233,717,512,0,1,56,1
SANTA MARIA DO HERVAL,0,0,0,20,0,0,0,0,10,0,4,0,0,0,0,0
SANTA ROSA,13,14,0,680,8,32,36,0,428,39,139,184,0,0,17,0
SANTA TEREZA,0,0,0,13,2,0,0,0,7,0,1,1,0,0,0,0
SANTA VITORIA DO PALMAR,14,15,1,609,56,11,32,2,135,23,25,36,1,0,19,0
SANTANA DA BOA VISTA,3,3,0,68,11,2,2,0,27,5,2,4,0,0,3,0
SANTANA DO LIVRAMENTO,16,16,0,1076,162,48,124,6,574,67,126,64,0,1,21,1
SANTIAGO,3,3,0,345,38,6,14,0,409,18,138,125,0,0,3,0
SANTO ANGELO,15,16,0,1266,47,70,130,2,572,74,187,163,0,0,16,0
SANTO ANTONIO DA PATRULHA,6,6,0,318,15,24,50,10,261,13,54,48,0,0,8,0
SANTO ANTONIO DAS MISSOES,0,0,0,62,10,0,3,0,55,10,28,6,0,0,0,0
SANTO ANTONIO DO PALMA,0,0,0,15,2,0,1,0,10,0,1,0,0,0,0,0
SANTO ANTONIO DO PLANALTO,0,0,0,20,3,1,0,0,14,1,0,0,0,0,0,0
SANTO AUGUSTO,3,3,0,120,1,9,12,0,63,4,31,20,0,0,3,0
SANTO CRISTO,0,0,0,23,2,3,0,0,58,2,4,2,0,0,1,0
SANTO EXPEDITO DO SUL,0,0,0,9,1,0,0,0,13,3,2,0,0,0,0,0
SAO BORJA,3,3,0,547,66,16,42,3,404,32,100,94,0,0,4,0
SAO DOMINGOS DO SUL,0,0,0,8,1,2,0,0,11,0,0,0,0,0,0,0
SAO FRANCISCO DE ASSIS,2,2,0,86,13,3,4,1,65,3,17,31,0,0,3,0
SAO FRANCISCO DE PAULA,3,4,0,240,28,6,11,3,131,12,45,14,0,0,4,0
SAO GABRIEL,5,6,0,927,80,15,48,1,251,57,87,189,0,0,8,0
SAO JERONIMO,0,0,1,187,9,2,20,0,134,8,66,36,1,0,2,0
SAO JOAO DA URTIGA,0,0,0,9,1,0,3,1,12,1,0,0,0,0,0,0
SAO JOAO DO POLESINE,0,0,0,27,2,0,0,0,20,2,1,2,0,0,0,0
SAO JORGE,1,2,0,7,1,1,0,0,9,1,2,0,0,0,3,0
SAO JOSE DAS MISSOES,0,0,0,7,1,1,0,0,7,0,1,0,0,0,0,0
SAO JOSE DO HERVAL,0,0,0,11,1,1,3,0,2,3,0,0,0,0,0,0
SAO JOSE DO HORTENCIO,0,0,0,17,0,2,1,0,31,0,2,0,0,0,0,0
SAO JOSE DO INHACORA,0,0,0,4,0,1,0,0,8,0,0,0,0,0,0,0
SAO JOSE DO NORTE,5,5,0,261,18,4,10,1,69,7,43,52,0,0,5,0
SAO JOSE DO OURO,0,0,0,19,2,5,0,0,39,5,10,3,0,0,0,0
SAO JOSE DO SUL,0,0,0,11,0,0,2,0,17,2,0,4,0,0,0,0
SAO JOSE DOS AUSENTES,2,2,0,37,10,1,0,0,16,6,2,3,0,0,2,0
SAO LEOPOLDO,25,25,1,3481,8,396,812,172,2059,90,221,410,1,0,29,0
SAO LOURENCO DO SUL,2,2,0,342,17,11,21,0,222,16,206,29,0,0,2,0
SAO LUIZ GONZAGA,5,5,0,382,17,14,37,0,242,40,91,106,0,1,7,1
SAO MARCOS,2,2,0,85,4,18,8,1,143,3,15,16,0,0,6,0
SAO MARTINHO,1,1,0,26,1,1,1,0,30,3,2,5,0,0,1,0
SAO MARTINHO DA SERRA,0,0,0,63,38,3,2,0,16,1,3,1,0,0,0,0
SAO MIGUEL DAS MISSOES,1,1,0,56,18,1,0,0,22,9,0,7,0,0,1,0
SAO NICOLAU,0,0,0,30,9,0,0,0,11,11,2,1,0,0,0,0
SAO PAULO DAS MISSOES,0,0,0,15,1,1,4,0,31,1,0,2,0,0,0,0
SAO PEDRO DA SERRA,0,0,0,8,0,1,1,0,17,2,4,1,0,0,0,0
SAO PEDRO DAS MISSOES,0,0,0,12,2,0,0,0,5,0,0,0,0,0,0,0
SAO PEDRO DO BUTIA,0,0,0,3,1,0,0,0,14,0,0,0,0,0,0,0
SAO PEDRO DO SUL,0,0,0,208,71,1,8,0,109,12,21,18,0,0,0,0
SAO SEBASTIAO DO CAI,2,2,0,252,4,18,8,8,199,19,204,35,0,0,2,0
SAO SEPE,2,2,1,197,14,4,9,0,58,8,29,17,1,0,3,0
SAO VALENTIM,1,1,0,17,0,0,0,0,14,0,2,0,0,0,1,0
SAO VALENTIM DO SUL,0,0,0,8,0,0,0,0,7,2,4,0,0,0,0,0
SAO VALERIO DO SUL,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0
SAO VENDELINO,0,0,0,8,0,2,2,2,12,0,1,2,0,0,0,0
SAO VICENTE DO SUL,0,0,0,62,14,0,3,0,48,9,32,9,0,0,0,0
SAPIRANGA,2,2,0,761,7,82,118,19,505,20,217,87,0,1,3,1
SAPUCAIA DO SUL,19,20,1,1881,7,165,464,90,1059,38,160,231,1,0,24,0
SARANDI,3,4,0,271,1,12,13,3,191,17,79,46,0,0,4,0
SEBERI,0,0,0,121,7,15,6,1,57,16,10,7,0,0,0,0
SEDE NOVA,0,0,0,5,0,1,0,0,4,1,3,2,0,0,0,0
SEGREDO,2,2,0,51,10,2,0,0,15,4,0,3,0,0,2,0
SELBACH,0,0,0,13,0,5,0,0,20,0,0,4,0,0,0,0
SENADOR SALGADO FILHO,0,0,0,9,1,0,0,0,8,0,0,0,0,0,1,0
SENTINELA DO SUL,2,3,0,64,14,4,4,0,11,4,1,4,0,0,3,0
SERAFINA CORREA,3,3,0,67,3,1,6,0,110,13,59,20,0,0,4,0
SERIO,1,1,0,21,0,2,0,0,2,1,2,0,0,0,1,0
SERTAO,0,0,0,32,3,0,0,0,34,6,2,1,0,0,0,0
SERTAO SANTANA,0,0,0,24,1,0,3,0,28,3,2,1,0,0,0,0
SETE DE SETEMBRO,0,0,0,16,5,1,4,0,8,4,0,0,0,0,0,0
SEVERIANO DE ALMEIDA,0,0,0,19,1,1,0,0,14,1,1,1,0,0,0,0
SILVEIRA MARTINS,0,0,0,34,2,2,0,0,9,2,1,0,0,0,0,0
SINIMBU,0,0,0,29,1,2,1,0,24,2,1,0,0,0,0,0
SOBRADINHO,2,2,0,171,1,6,10,0,88,17,26,36,0,0,2,0
SOLEDADE,9,10,0,455,39,27,23,1,127,41,72,33,0,0,13,0
TABAI,0,0,0,24,3,2,3,5,27,0,5,0,0,0,0,0
TAPEJARA,3,4,0,319,2,15,21,2,168,13,41,14,0,0,7,0
TAPERA,2,2,0,90,4,6,4,1,33,9,22,19,0,0,2,0
TAPES,3,4,0,157,19,5,10,2,67,16,17,48,0,0,4,0
TAQUARA,2,2,1,533,12,39,56,12,428,29,555,94,1,0,5,0
TAQUARI,6,6,0,153,12,7,9,2,148,16,137,31,0,0,6,0
TAQUARUCU DO SUL,0,0,0,13,1,0,0,0,12,3,2,2,0,0,0,0
TAVARES,0,0,0,51,11,1,1,0,22,3,4,14,0,0,1,0
TENENTE PORTELA,5,5,0,197,6,25,16,2,70,22,27,14,0,0,6,0
TERRA DE AREIA,2,2,0,107,11,6,6,2,112,4,7,30,0,0,2,0
TEUTONIA,0,0,0,135,2,6,11,1,273,11,169,32,0,0,0,0
TIO HUGO,0,0,1,38,0,2,1,0,28,6,2,3,1,0,1,0
TIRADENTES DO SUL,0,0,0,26,1,1,1,0,14,13,2,5,0,0,0,0
TOROPI,0,0,0,18,7,0,0,0,8,6,0,0,0,0,0,0
TORRES,3,3,0,832,11,50,73,10,587,13,168,75,0,0,7,0
TRAMANDAI,25,28,0,1153,10,77,128,15,537,48,166,182,0,1,30,1
TRAVESSEIRO,0,0,0,9,0,0,0,0,8,0,2,0,0,0,0,0
TRES ARROIOS,0,0,0,11,1,1,0,0,11,1,0,0,0,0,0,0
TRES CACHOEIRAS,2,2,0,75,2,8,1,0,89,1,6,4,0,0,2,0
TRES COROAS,0,0,0,186,4,5,9,0,69,12,64,24,0,0,1,0
TRES DE MAIO,2,2,0,112,10,3,8,0,155,15,25,19,0,0,2,0
TRES FORQUILHAS,0,0,0,11,2,0,0,1,4,0,0,1,0,0,0,0
TRES PALMEIRAS,0,0,0,15,0,0,2,0,13,1,7,1,0,0,0,0
TRES PASSOS,2,2,0,234,7,13,12,1,133,13,45,107,0,0,3,0
TRINDADE DO SUL,0,0,0,46,5,5,2,1,24,10,25,26,0,0,0,0
TRIUNFO,2,2,0,235,15,15,12,2,165,19,38,38,0,0,3,0
TUCUNDUVA,0,0,0,21,4,1,3,0,26,5,1,4,0,0,0,0
TUNAS,1,1,0,21,4,2,1,0,17,1,1,1,0,0,1,0
TUPANCI DO SUL,0,0,0,7,5,0,0,0,7,5,0,0,0,0,0,0
TUPANCIRETA,1,1,1,183,5,5,9,3,120,17,16,15,1,0,2,0
TUPANDI,0,0,0,12,1,1,0,0,35,1,9,4,0,0,0,0
TUPARENDI,1,1,0,35,3,5,3,0,28,4,8,12,0,0,2,0
TURUCU,0,0,0,15,5,1,2,0,16,2,13,2,0,0,0,0
UBIRETAMA,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0
UNIAO DA SERRA,0,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0
UNISTALDA,0,0,0,12,9,0,0,0,8,3,1,0,0,0,0,0
URUGUAIANA,26,27,2,1185,60,53,221,3,591,50,211,205,2,0,33,0
VACARIA,23,26,1,975,20,40,117,8,391,74,180,91,1,0,30,0
VALE DO SOL,3,3,0,44,9,5,2,3,46,6,6,3,0,0,4,0
VALE REAL,1,1,0,15,0,1,2,1,35,2,19,1,0,0,1,0
VALE VERDE,1,1,0,24,6,0,1,0,7,1,1,0,0,0,1,0
VANINI,0,0,0,6,0,1,0,0,9,2,1,2,0,0,0,0
VENANCIO AIRES,12,12,0,913,15,45,65,4,377,22,42,74,0,0,12,0
VERA CRUZ,2,2,0,163,7,12,12,3,176,7,15,12,0,0,2,0
VERANOPOLIS,1,1,0,67,3,9,5,1,142,15,74,62,0,0,1,0
VESPASIANO CORREA,0,0,0,10,0,0,3,1,10,0,1,0,0,0,0,0
VIADUTOS,1,1,0,35,1,2,0,0,18,3,5,3,0,0,1,0
VIAMAO,40,42,2,2140,60,145,1367,212,1723,99,155,266,2,1,50,1
VICENTE DUTRA,3,3,0,17,0,2,2,0,8,11,0,1,0,0,3,0
VICTOR GRAEFF,0,0,0,16,0,0,5,0,13,3,1,1,0,0,0,0
VILA FLORES,0,0,0,14,1,1,0,1,8,0,7,1,0,0,0,0
VILA LANGARO,0,0,0,15,1,2,0,0,5,1,0,0,0,0,0,0
VILA MARIA,0,0,0,33,13,5,1,0,18,2,15,0,0,0,0,0
VILA NOVA DO SUL,0,0,0,65,16,3,2,0,20,1,3,0,0,0,0,0
VISTA ALEGRE,0,0,0,9,3,1,2,1,8,2,0,1,0,0,0,0
VISTA ALEGRE DO PRATA,0,0,0,3,0,0,0,0,8,3,0,0,0,0,0,0
VISTA GAUCHA,1,1,0,11,0,0,0,0,6,2,0,0,0,0,1,0
VITORIA DAS MISSOES,0,0,0,20,3,0,0,0,7,1,4,0,0,0,0,0
WESTFALIA,0,0,0,10,2,1,0,0,20,1,1,0,0,0,0,0
XANGRI-LA,4,4,0,494,2,11,24,0,231,5,57,50,0,0,4,0
